seller_id,length,recency,frequency,monetary,review,time_process,cluster
0015a82c2db000af6aaaf3ae2ecb0532,2,11,1.0,2748.06,5.0,1.7283217592592592,Regular Seller
001cca7ae9ae17fb1caed9dfb1094831,18,2,11.0,47151.7,5.0,1.7280092592592593,Potensial Seller
002100f778ceb8431b7a1020ff7ab48f,8,5,6.0,2412.64,5.0,2.6410300925925925,Regular Seller
003554e2dce176b5555353e4f3555ac8,1,9,1.0,139.38,5.0,0.5236226851851852,Regular Seller
004c9cd9d87a3c30c522c48c4fc07416,17,4,9.0,27533.95,5.0,1.047997685185185,Potensial Seller
00720abe85ba0859807595bbf045a33b,8,1,1.0,3118.4,4.0,1.825798611111111,Regular Seller
00ab3eff1b5192e5f1a63bcecfee11c8,1,18,1.0,110.08,5.0,3.898761574074074,Regular Seller
00d8b143d12632bad99c0ad66ad52825,1,6,1.0,137.1,5.0,1.6170833333333334,Regular Seller
00ee68308b45bc5e2660cd833c3f81cc,11,2,11.0,34923.34,5.0,1.2709143518518518,Potensial Seller
00fc707aaaad2d31347cf883cd2dfe10,6,3,17.0,27921.49,4.0,1.918234953703704,Potensial Seller
010543a62bd80aa422851e79a3bc7540,2,13,1.0,1447.95,4.5,2.8833506944444443,Regular Seller
010da0602d7774602cd1b3f5fb7b709e,1,3,1.0,5398.75,1.0,20.720659722222223,Dormant Seller
011b0eaba87386a2ae96a7d32bb531d1,1,23,1.0,258.32,4.0,14.547708333333333,Dormant Seller
01266d4c46afa519678d16a8b683d325,1,1,3.0,137.48,5.0,0.8200810185185186,Regular Seller
013900e863eace745d3ec7614cab5b1a,14,5,3.0,2659.19,5.0,2.0930439814814816,Regular Seller
014c0679dd340a0e338872e7ec85666a,19,2,1.0,8423.67,4.0,4.214143518518519,Regular Seller
014d9a685fd57276679edd00e07089e5,10,1,2.0,1317.47,4.5,2.1833391203703703,Regular Seller
0176f73cc1195f367f7b32db1e5b3aa8,10,1,3.0,6313.18,5.0,1.4181828703703705,Regular Seller
01bcc9d254a0143f0ce9791b960b2a47,7,7,2.0,1644.69,4.0,0.6466493055555556,Regular Seller
01c97ebb5cdac52891c0ed1c37ba0012,16,2,1.0,1193.86,4.5,0.5171006944444445,Regular Seller
01cf7e3d21494c41fb86034f2e714fa1,17,7,5.0,12313.56,5.0,2.0480266203703703,Regular Seller
01ed254b9ff8407dfb9d99ba1e17d923,4,10,1.0,1533.71,5.0,0.815,Regular Seller
01fd077212124329bac32490e8ef80d9,5,1,6.0,3247.48,5.0,1.0019791666666666,Regular Seller
01fdefa7697d26ad920e9e0346d4bd1b,17,1,7.0,17845.2,5.0,1.1134085648148146,Regular Seller
0241d4d5d36f10f80c644447315af0bd,11,1,21.0,41292.9,5.0,1.2127256944444444,Potensial Seller
0249d282d911d23cb8b869ab49c99f53,7,6,2.0,570.03,5.0,2.550972222222222,Regular Seller
024b564ae893ce8e9bfa02c10a401ece,5,19,1.0,4337.6,5.0,14.565787037037037,Dormant Seller
028872bfa080090a9d0abd4f1af168f8,1,13,1.0,353.61,5.0,4.328159722222222,Regular Seller
02b72cdeb9cfcc429f1af6f4e3f3b737,2,1,2.0,748.64,5.0,0.6950462962962963,Regular Seller
02c988090b766852e088c69d7fb3b551,14,1,1.0,1949.55,5.0,0.9747453703703703,Regular Seller
02d35243ea2e497335cd0f076b45675d,17,1,1.0,8408.63,3.0,9.954756944444444,Regular Seller
02dcd3e8e25bee036e32512bcf175493,7,1,2.0,2027.55,5.0,3.4702777777777776,Regular Seller
02ecc2a19303f05e59ce133fd923fff7,15,1,2.0,7844.22,5.0,3.122037037037037,Regular Seller
02f5837340d7eb4f653d676c7256523a,10,1,3.0,4463.88,5.0,2.018755787037037,Regular Seller
02f623a8eb246f3c5f7c2f96462654e6,5,1,8.0,6678.85,5.0,0.6910590277777777,Regular Seller
0307f7565ff85b299b6e5ef162b1b1a9,8,16,1.0,4968.89,2.5,5.547667824074074,Regular Seller
0336182e1b3e92f029d5354832045fdf,1,23,1.0,324.78,2.0,8.85212962962963,Dormant Seller
034b9387752bfa309f350a70cd45ffa3,5,1,2.0,240.26,4.0,1.1843171296296295,Regular Seller
038b75b729c8a9a04b0d07cba7eabe86,1,5,2.0,557.8499999999999,3.5,1.6829166666666666,Regular Seller
039b29ff3b3473435d0cd59040575de9,5,1,1.0,215.55,5.0,3.5835069444444443,Regular Seller
039e6ad9dae79614493083e241147386,4,2,1.0,13273.42,5.0,3.068275462962963,Regular Seller
03a2a6dcbe45d639c4dc2a0d24769c40,6,1,2.0,1250.66,5.0,1.2748032407407408,Regular Seller
03bd479e1d9484cdb14104d3023f7321,3,2,1.0,596.41,5.0,5.888958333333333,Regular Seller
0417b067eeab773d2f7061a726dc477f,6,1,2.0,2501.75,5.0,1.131689814814815,Regular Seller
042573af89b6d931f672efaf789d8358,2,7,1.0,478.57,5.0,1.242384259259259,Regular Seller
04308b1ee57b6625f47df1d56f00eedf,10,1,10.0,61389.13,5.0,4.048668981481481,Potensial Seller
0432ead42b6c8a0bdf68154add917fdf,16,2,5.0,10210.48,5.0,0.9838483796296296,Regular Seller
044668ccd5316b12a7cf0d54a156e3e9,1,1,3.0,275.29,5.0,1.5976736111111112,Regular Seller
04843805947f0fc584fc1969b6e50fe7,1,1,1.0,2949.52,5.0,8.85806712962963,Regular Seller
048c2757535328e0d7dac690ad3c0aae,18,1,2.0,10094.06,5.0,2.3039583333333336,Regular Seller
04aa0a1c5ce6b222003403a3e11c3cc0,11,8,1.0,14477.19,4.0,3.368414351851852,Regular Seller
04aba03279157f6d4e0fe8ccaf21963c,16,1,1.0,2735.23,5.0,2.345636574074074,Regular Seller
04e38a233f726ef161074ab1c9b0399a,9,4,2.0,2004.73,4.0,4.68662037037037,Regular Seller
04ee0ec01589969663ba5967c0e0bdc0,1,1,1.0,314.32,5.0,0.1570949074074074,Regular Seller
04fdea0c111866e6cf812f1570d6b5bd,5,7,1.0,1038.35,3.5,4.796631944444444,Regular Seller
0509040ea3fe50071181bbc359eb7738,16,1,5.0,5904.8,5.0,1.2488078703703704,Regular Seller
052577151711aec5c744fe12e66db3e1,1,11,1.0,729.65,5.0,6.088206018518519,Regular Seller
054694fa03fe82cec4b7551487331d74,16,5,2.0,9830.95,4.0,4.699537037037037,Regular Seller
056b4ada5bbc2c50cc7842547dda6b51,9,1,6.0,13082.96,5.0,1.7930208333333333,Regular Seller
0570350b23eda5444f8d1d9544932058,2,4,3.0,2169.96,5.0,1.8565625,Regular Seller
05730013efda596306417c3b09302475,2,1,2.0,1168.67,5.0,2.3280324074074072,Regular Seller
058cb5aeb36d7c0fcae20fc85d5e0a59,12,1,1.0,2102.4,4.0,1.3492592592592594,Regular Seller
058fd0aa2bfdb2274e05e1ae971dabb6,11,3,5.0,9182.0,5.0,1.2688483796296297,Regular Seller
05a48cc8859962767935ab9087417fbb,1,1,1.0,59.39,5.0,5.7977083333333335,Regular Seller
05a940b4ecae36cadfd8e93bd9c43257,8,7,1.0,864.0999999999999,5.0,2.248148148148148,Regular Seller
05aebce0b5c8f0d41b29b686f2d05fd3,6,1,1.0,120.88,5.0,1.4832118055555557,Regular Seller
05ca864204d09595ae591b93ea9cf93d,1,1,1.0,188.42,5.0,3.3971064814814813,Regular Seller
05d2173d43ea568aa0540eba70d2ca76,12,1,5.0,8027.76,5.0,1.369895833333333,Regular Seller
05e107217c7266362fd44b75b2cd4cc4,3,1,2.0,405.31,4.0,1.817858796296296,Regular Seller
05f51e13da97139648b8125c31e5f51b,9,6,8.0,17169.98,5.0,2.828958333333333,Regular Seller
05feb94f19d094d4b0f9281f0b1d4c99,7,7,1.0,10050.04,5.0,1.0990625,Regular Seller
05ff92fedb5be47920fea08e501238b9,23,1,2.0,24932.14,5.0,1.1790856481481482,Regular Seller
062c325cd6a2b87845fab56b4ec2eeae,4,1,1.0,157.07999999999998,5.0,1.6719212962962962,Regular Seller
062ce95fa2ad4dfaedfc79260130565f,9,12,6.0,10672.15,5.0,4.500949074074074,Regular Seller
06532f10282704ef4c69168b914b77be,6,13,1.0,11176.65,5.0,2.197476851851852,Regular Seller
06579cb253ecd5a3a12a9e6eb6bf8f47,13,1,5.0,8295.63,5.0,1.555636574074074,Regular Seller
066a6914e1ebf3ea95a216c73a986b91,23,1,3.0,11839.11,4.0,2.1869444444444444,Regular Seller
0691148aee60ca47977c187804f935ae,10,1,4.0,11066.1,5.0,1.2566550925925926,Regular Seller
0692610d8abe24f287e9fae90ea0bbee,3,1,1.0,205.72,4.0,5.295630787037037,Regular Seller
06a2c3af7b3aee5d69171b0e14f0ee87,8,1,45.0,47266.01,5.0,2.350607638888889,High-Value Seller
06bb3a2fe5e7b7a845b13e8fb91bd944,10,3,1.0,1923.33,5.0,0.855630787037037,Regular Seller
06df0c10d34e459d9672bc77388742eb,6,1,4.0,12122.79,5.0,0.9039930555555556,Regular Seller
06e5eefc71ec47ae763c5c6f8db7064f,16,1,5.0,24948.33,4.0,1.0073032407407407,Regular Seller
07017df32dc5f2f1d2801e579548d620,17,2,2.0,1313.98,5.0,1.013576388888889,Regular Seller
070d165398b553f3b4b851c216b8a358,13,1,2.0,6328.92,5.0,3.8719328703703706,Regular Seller
0725b8c0f3f906e58f70cbe76b7c748c,20,1,2.0,9472.36,5.0,3.285480324074074,Regular Seller
0743a0239d764b9a0f959a57d07e36ab,2,1,2.0,403.22,5.0,1.8012152777777777,Regular Seller
0747d5bb69f0586cc869d8af4c50f93e,9,15,2.0,582.08,5.0,3.458009259259259,Regular Seller
0761743cbffb25d7148189e9f1a5f03a,3,7,1.0,1267.6,4.0,3.789618055555556,Regular Seller
077c5fae4bea9500e3737b16f71b9d3a,10,3,1.0,421.62,5.0,4.969861111111111,Regular Seller
